Week,Cost,Quotes,Sales,CPQ,CPS,CPC
2020-05-04,566161.69,26254,3626,21.56477832,156.1394622,10.05
2020-05-11,590241.44,26833,3563,21.99684866,165.6585574,10.11
2020-05-18,570214.34,24925,3452,22.87720522,165.1837601,10.46
2020-05-25,563845.47,24107,3349,23.38928403,168.362338,10.73
2020-06-01,594504.31,24821,3555,23.95166633,167.2304669,10.72
2020-06-08,549150.58,23917,3145,22.96067985,174.6106773,10.25
2020-06-15,528939.62,22870,3287,23.12809882,160.9186553,10.26
2020-06-22,554610.94,23011,3216,24.10199209,172.4536505,10.91
2020-06-29,527910.01,22060,3324,23.93064415,158.8176925,10.63
2020-07-06,550765.28,23283,3252,23.65525405,169.3620172,10.39
2020-07-13,539014.1,22426,3025,24.03523143,178.1864793,10.41
2020-07-20,561398.77,22946,3025,24.46608428,185.5863702,10.73
2020-07-27,587549.31,21690,3056,27.08848824,192.2608999,11.85
2020-08-03,637478.61,22324,3060,28.55575211,208.3263431,12.48
2020-08-10,620139.05,21921,2719,28.28972447,228.0761493,12.59
2020-08-17,576188.15,20551,2643,28.03698847,218.0053538,12.7
2020-08-24,554352.27,19984,2658,27.73980534,208.559921,12.47
2020-08-31,592911.16,21040,3070,28.18018821,193.130671,12.49
2020-09-07,530413.57,18468,2399,28.7206828,221.0977782,12.59
2020-09-14,559976.71,18198,2580,30.77133256,217.0452364,13.1
2020-09-21,561315.36,18516,2554,30.3151523,219.7789193,13.35
2020-09-28,618551.98,20558,2900,30.0881399,213.2937862,13.36
2020-10-05,584367.94,19732,2416,29.61524123,241.8741474,13.06
2020-10-12,566338.38,19742,2511,28.68698106,225.542963,12.87
2020-10-19,562386.87,19667,2547,28.59545787,220.8036396,12.94
2020-10-26,579631.78,18867,2536,30.72198972,228.5614274,13.82
2020-11-02,459532.1,17046,2261,26.95835387,203.2428571,12.28
2020-11-09,379080.14,14740,1906,25.71778426,198.8877964,12.49
2020-11-16,506206.87,16583,2041,30.52565097,248.0190446,14.99
2020-11-23,462536.88,15359,1861,30.11503874,248.5421171,14.51
2020-11-30,630091.42,20117,2519,31.32134115,250.1355379,15
2020-12-07,585049.49,18307,2114,31.95769323,276.7499953,15.21
2020-12-14,448419.16,14775,1862,30.34985854,240.8266165,14.18
2020-12-21,343047.48,12201,1521,28.11634128,225.5407495,13.62
2020-12-28,496819.02,18584,2599,26.73369673,191.1577607,13.46
2021-01-04,537883.52,20684,3257,26.00481145,165.1469205,13.08
2021-01-11,358748.6,15903,2303,22.5585487,155.7744681,11.41
2021-01-18,221603.7,11559,1593,19.17152868,139.1109228,8.9
2021-01-25,204964.58,11432,1562,17.92902204,131.2193214,8.33
2021-02-01,235590.77,13619,1686,17.29868346,139.7335528,8.45
2021-02-08,222118.56,12694,1427,17.49791713,155.6542116,8.18
2021-02-15,28403.84,1561,153,18.19592569,150,7.95
