Week,Cost,Quotes,Sales,CPQ,CPS,CPC
2021-02-15,59706.71,835,46,71.50504192,1297.971957,36.55
2021-02-08,423819.24,6253,393,67.7785447,1078.420458,34.41
2021-02-01,454271.66,6809,501,66.71635482,906.7298603,34.8
2021-01-25,406802.54,6048,384,67.26232474,1059.381615,31.91
2021-01-18,347131.04,5438,352,63.83432144,986.1677273,32.06
2021-01-11,406892.2,6181,414,65.82950979,982.831401,33.36
2021-01-04,430944.06,6565,513,65.64265956,840.0469006,33.24
2020-12-28,346951.4,4812,310,72.10128845,1119.198065,31.55
2020-12-21,267228.29,3736,230,71.52791488,1161.86213,36.13
2020-12-14,293767.34,4208,273,69.81163023,1076.070842,34.87
2020-12-07,320523.32,4546,280,70.5066696,1144.726143,35.31
2020-11-30,336362.3,4848,339,69.38166254,992.219174,33.14
2020-11-23,252095.68,3735,231,67.49549665,1091.32329,31.62
2020-11-16,270723.52,4140,276,65.39215459,980.8823188,32.74
2020-11-09,278319.22,4159,280,66.91974513,993.9972143,33.24
2020-11-02,300753.46,4480,305,67.13246875,986.076918,33.47
2020-10-26,408432.31,5003,341,81.63747951,1197.74871,12.95
2020-10-19,366866.65,4965,291,73.89056395,1260.710137,37.29
2020-10-12,331930.85,4518,296,73.46853696,1121.388007,35.76
2020-10-05,354282.22,4869,323,72.76283015,1096.848978,36.12
2020-09-28,398175.64,5201,351,76.55751586,1134.403533,13.5
2020-09-21,414948.5,5758,385,72.0646926,1077.788312,28.53
2020-09-14,374226.6,5316,365,70.3962754,1025.278356,35.72
2020-09-07,306644.8,4904,307,62.52952692,998.8429967,31.54
2020-08-31,332805.61,5097,382,65.29441044,871.2188743,23.61
2020-08-24,298092.29,4957,369,60.13562437,807.8381843,28.15
2020-08-17,343479.63,5244,341,65.49954805,1007.271642,32.29
2020-08-10,355569.19,5358,353,66.3622975,1007.278159,34.27
2020-08-03,307377.16,4919,331,62.48773328,928.6319033,31.28
2020-07-27,322448.79,5095,345,63.28729931,934.6341739,26.45
2020-07-20,321773.9,5429,382,59.26946031,842.3400524,30.04
2020-07-13,334504.68,5650,425,59.20436814,787.0698353,29.57
2020-07-06,318416.85,5383,383,59.15230355,831.3755875,29.48
2020-06-29,302347.67,4982,386,60.68801084,783.2841192,18.68
2020-06-22,273308.17,4794,392,57.01046516,697.2147194,28.28
2020-06-15,250064.53,4531,375,55.18969985,666.8387467,27.66
2020-06-08,264213.43,4599,345,57.45019135,765.836029,27.81
2020-06-01,269401.97,4697,353,57.35617841,763.1783853,28.29
2020-05-25,197840.28,3628,277,54.53149945,714.2248375,17.3
2020-05-18,199212.18,3609,284,55.19871987,701.451338,26.49
2020-05-11,187581.4,3252,279,57.68185732,672.334767,26.36
2020-05-04,165003.85,2997,222,55.05633967,743.2605856,26.8
2020-04-27,162923.52,3122,269,52.1856246,605.6636431,26.41
2020-04-20,127523.21,2626,190,48.56177075,671.1747895,23.28
2020-04-13,101116.3,2181,182,46.36235672,555.5840659,21.69
2020-04-06,66697.32,1439,98,46.34977067,680.584898,21.71
2020-03-30,66639.43,1350,103,49.36254074,646.9847573,22.25
2020-03-23,69787.98,1410,99,49.49502128,704.9290909,21.68
2020-03-16,67315.48,1515,139,44.43266007,484.2840288,19.23
2020-03-09,99990.66,2161,177,46.27055067,564.9189831,19.3
2020-03-02,139446.19,2984,289,46.73129692,482.5127682,19.86
2020-02-24,231101.41,4643,497,49.7741568,464.9927767,21.2
2020-02-17,128662.71,2812,167,45.75487553,770.4353892,18.81
2020-02-10,119360.8,1317,114,90.63082764,1047.024561,19.03
2020-02-03,127644.77,2256,167,56.58012855,764.3399401,20.59
2020-01-27,109683.95,2029,139,54.05813208,789.0931655,20.22
2020-01-20,80818.47,1657,116,48.77397103,696.7109483,16.79
2020-01-13,56936.94,1429,101,39.84390483,563.7320792,13.97
2020-01-06,54630.91,1483,102,36.83810519,535.5971569,12.65
2019-12-30,29269.45,787,50,37.191169,585.389,13.02
2019-12-23,0,2,1,0,0,0
2019-12-16,0,3,1,0,0,0
2019-12-09,0,11,2,0,0,0
2019-12-02,7597.65,292,29,26.01934932,261.987931,9.32
2019-11-25,1341.77,66,6,20.32984848,223.6283333,8.16
2019-11-18,17481.71,637,52,27.44381476,336.1867308,9.25
2019-11-11,31722.08,1161,85,27.32306632,373.2009412,10.24
2019-11-04,34799.66,1352,93,25.73939349,374.1898925,9.88
2019-10-28,28993.25,1128,83,25.70323582,349.3162651,9.41
2019-10-21,14526.23,704,57,20.63384943,254.8461404,7.05
2019-10-14,11412.8,683,46,16.70980966,248.1043478,6.25
2019-10-07,10932.16,610,55,17.92157377,198.7665455,6.16
2019-09-30,13012.52,671,46,19.39272727,282.8808696,6.19
2019-09-23,14048.54,720,53,19.51186111,265.0667925,6.3
2019-09-16,11586.09,630,44,18.39061905,263.3202273,6.17
2019-09-09,11293.82,628,39,17.98378981,289.5851282,5.96
2019-09-02,16228.24,832,53,19.50509615,306.1932075,6.77
2019-08-26,21190.02,896,65,23.64957589,326.0003077,8.09
2019-08-19,16848.01,630,48,26.74287302,351.0002083,8.29
