Date,Campaign Group,Cost,Impressions ,Clicks ,CPC ,CTR ,Close Rate ,Quotes ,Sales ,CPQ ,CPS 
5/1/2020,Brand Search - Bing,7569.19,7837,1230,6.153813008,0.156947812,0.179856,278,50,27.22730216,151.3838
5/1/2020,Brand Search - Google,106154.7352,18778,9960,10.65810594,0.530407924,0.176743,4532,801,23.42337493,132.5277593
5/1/2020,Monetization ,795.35,73098,388,2.049871134,0.005307943,0,0,0,0,0
5/1/2020,NB Search - Bing,2961.78,4572,173,17.12011561,0.03783902,0.115385,52,6,56.95730769,493.63
5/1/2020,NB Search - Google,21909.53,9233,832,26.33356971,0.090111556,0.13785,428,59,51.19049065,371.3479661
5/1/2020,Prospecting - Discovery,17671.6845,1197930,65321,0.270536037,0.054528228,0.050847,295,15,59.90401525,1178.1123
5/1/2020,Prospecting - Facebook,16013.88,1603077,3180,5.035811321,0.001983685,0.035294,425,15,37.67971765,1067.592
5/1/2020,Prospecting - YouTube,0,0,0,0,0,0,3,0,0,0
5/1/2020,RT - Discovery,3038.8135,453788,7030,0.432263656,0.015491816,0.241379,29,7,104.7866724,434.1162143
5/1/2020,RT - Display,4964.4,333277,836,5.938277512,0.002508424,0.114754,61,7,81.38360656,709.2
5/1/2020,RT - Facebook,4892.98,196555,538,9.094758364,0.002737147,0.012658,79,1,61.9364557,4892.98
5/1/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/2/2020,Brand Search - Bing,3723.87,6590,840,4.433178571,0.127465857,0.122222,180,22,20.68816667,169.2668182
5/2/2020,Brand Search - Google,62389.1917,11725,6395,9.755933026,0.545415778,0.152852,3173,485,19.66252496,128.6375087
5/2/2020,Monetization ,836.13,79603,374,2.235641711,0.004698315,0,0,0,0,0
5/2/2020,NB Search - Bing,2387.69,2977,137,17.42839416,0.046019483,0.038462,52,2,45.91711538,1193.845
5/2/2020,NB Search - Google,16790.71,6708,629,26.69429253,0.093768634,0.104101,317,33,52.96753943,508.8093939
5/2/2020,Prospecting - Discovery,15486.9986,1223194,54715,0.283048499,0.044731253,0.034335,233,8,66.46780515,1935.874825
5/2/2020,Prospecting - Facebook,7406.35,637032,1210,6.120950413,0.001899434,0.032864,213,7,34.77159624,1058.05
5/2/2020,Prospecting - Native,0,0,0,0,0,0,1,0,0,0
5/2/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
5/2/2020,RT - Discovery,3373.7415,426417,6222,0.542227821,0.014591351,0.181818,22,4,153.3518864,843.435375
5/2/2020,RT - Display,5878,322254,885,6.64180791,0.002746281,0.111111,63,7,93.3015873,839.7142857
5/2/2020,RT - Facebook,3956.25,180864,457,8.657002188,0.00252676,0.033898,59,2,67.05508475,1978.125
5/2/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/3/2020,Brand Search - Bing,4050.95,8439,1033,3.921539206,0.122407868,0.097143,175,17,23.14828571,238.2911765
5/3/2020,Brand Search - Google,47360.695,9861,5264,8.997092515,0.533820099,0.095514,2586,247,18.31426721,191.7437045
5/3/2020,Monetization ,799.75,77224,416,1.922475962,0.005386926,0,0,0,0,0
5/3/2020,NB Search - Bing,1777.71,3191,120,14.81425,0.037605766,0.047619,42,2,42.32642857,888.855
5/3/2020,NB Search - Google,15046.97,5896,548,27.45797445,0.092944369,0.0625,288,18,52.24642361,835.9427778
5/3/2020,Prospecting - Discovery,15844.5193,1436557,57407,0.276003263,0.039961519,0.030405,296,9,53.52878142,1760.502144
5/3/2020,Prospecting - Facebook,8084.16,709689,1421,5.689064039,0.002002286,0.003984,251,1,32.20780876,8084.16
5/3/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
5/3/2020,RT - Discovery,3028.0625,371249,5668,0.534238267,0.015267381,0.117647,34,4,89.06066176,757.015625
5/3/2020,RT - Display,6379.5,346683,903,7.064784053,0.002604685,0.065574,61,4,104.5819672,1594.875
5/3/2020,RT - Facebook,4235.74,204918,502,8.437729084,0.00244976,0.043478,69,3,61.38753623,1411.913333
5/3/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/4/2020,Brand Search - Bing,7040.75,17472,2082,3.381724304,0.119162088,0.179878,328,59,21.46570122,119.3347458
5/4/2020,Brand Search - Google,94501.64,18661,9754,9.688501128,0.522694389,0.14573,4426,645,21.35147763,146.5141705
5/4/2020,Monetization ,803.05,74891,415,1.935060241,0.005541387,0,0,0,0,0
5/4/2020,NB Search - Bing,3297.94,4855,210,15.70447619,0.043254377,0.071429,56,4,58.89178571,824.485
5/4/2020,NB Search - Google,23538.6,10482,874,26.93203661,0.083381034,0.063529,425,27,55.38494118,871.8
5/4/2020,Prospecting - Discovery,27837.1737,5193093,113732,0.244761138,0.021900628,0.050794,315,16,88.37198,1739.823356
5/4/2020,Prospecting - Display,0,0,0,0,0,0,1,0,0,0
5/4/2020,Prospecting - Facebook,8677.05,630481,1287,6.742074592,0.002041299,0.024735,283,7,30.66095406,1239.578571
5/4/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
5/4/2020,RT - Discovery,3277.5256,397438,6628,0.494496922,0.016676815,0.034483,29,1,113.0181241,3277.5256
